Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.424604892730713,6.439314685252985,6.3756721867282895,6.407193227963411,493729600
2010-01-05,6.435713768005371,6.472038144326465,6.401790655529927,6.4423183458135185,601904800
2010-01-06,6.333343505859375,6.461229308639555,6.326738929835494,6.435712029359036,552160000
2010-01-07,6.321635723114014,6.364264863379803,6.275705096078485,6.356759662485861,477131200
2010-01-08,6.363662242889404,6.364263059602432,6.276004326975004,6.313228509611582,447610800
2010-01-11,6.307527542114258,6.394285265000137,6.257693806687277,6.3882811039097005,462229600
2010-01-12,6.23577880859375,6.297320660021102,6.196752962752996,6.2799081915167845,594459600
2010-01-13,6.323737144470215,6.332142969425046,6.127106092687319,6.2402821166726685,605892000
2010-01-14,6.287113666534424,6.318034696676718,6.274805536578112,6.3075278151255025,432894000
2010-01-15,6.182044506072998,6.352258907693509,6.180243257301275,6.3321449630759385,594067600
2010-01-19,6.455528259277344,6.4600313815979975,6.2213719107826915,6.254093397210241,730007600
2010-01-20,6.3561601638793945,6.47083643636577,6.289214968899267,6.451623521327378,612152800
2010-01-21,6.246284008026123,6.403589784532219,6.220466923126691,6.366665405080015,608154400
2010-01-22,5.9364776611328125,6.229173663915011,5.918766189752913,6.207559488314014,881767600
2010-01-25,6.096185207366943,6.145117514813064,6.0097272955997,6.079373957879197,1065699600
2010-01-26,6.18234395980835,6.415600436728625,6.081476445771641,6.182644167900338,1867110000
2010-01-27,6.24058198928833,6.321635754474203,5.989913488740547,6.209660962263698,1722568400
2010-01-28,5.98270845413208,6.169133623355006,5.964996982868184,6.152022568121193,1173502400
2010-01-29,5.765662670135498,6.070066751926809,5.711326227499761,6.0364442593627325,1245952400
2010-02-01,5.845816135406494,5.8839417473211935,5.74284720292578,5.7749686552281725,749876400
2010-02-02,5.879739761352539,5.893549330635148,5.805290174496533,5.881241202303739,698342400
2010-02-03,5.980907440185547,6.010027217972776,5.836510585791934,5.859025786989696,615328000
2010-02-04,5.765364170074463,5.955090849120654,5.750954183584234,5.905857530236009,757652000
2010-02-05,5.867733001708984,5.883944239528654,5.729340270521389,5.78277651208096,850306800
2010-02-08,5.8275041580200195,5.940379959838839,5.823901662061851,5.874636011849238,478270800
2010-02-09,5.889645576477051,5.928971618684699,5.846416429790847,5.8965499590759025,632886800
2010-02-10,5.857523441314697,5.901953818565652,5.831706358388169,5.88063865260228,370361600
2010-02-11,5.9640960693359375,5.996518134753807,5.825703378312862,5.850320035193965,550345600
2010-02-12,6.015430927276611,6.053256336807876,5.868932617552168,5.947284908028259,655468800
2010-02-16,6.106091022491455,6.114796653373146,6.049653122914106,6.062261457658367,543737600
2010-02-17,6.0805745124816895,6.133409518567146,6.029839760013951,6.129807022476294,436396800
2010-02-18,6.091982364654541,6.120801936115326,6.0316417501442245,6.052955719680547,422825200
2010-02-19,6.05415678024292,6.100087808120595,6.037345531041181,6.059861133737881,415469600
2010-02-22,6.016631126403809,6.079073190767008,5.979706743184227,6.0742702633635055,390563600
2010-02-23,5.915764331817627,6.043950362897944,5.875237447688649,6.004023494054404,575094800
2010-02-24,6.023838043212891,6.047253472561512,5.939180564440741,5.950888679926919,460566400
2010-02-25,6.06406307220459,6.08988015923277,5.910660387638124,5.925370179197681,665126000
2010-02-26,6.142715930938721,6.159226971524314,6.0640634323410465,6.075470936494723,507460800
2010-03-01,6.273905277252197,6.289215086984138,6.167633626019473,6.176639467181527,550093600
2010-03-02,6.269701957702637,6.329141547627947,6.236379265372259,6.3021232242704155,566546400
2010-03-03,6.2841105461120605,6.300321780109644,6.2423832322173265,6.272403234292958,372052800
2010-03-04,6.325538635253906,6.331843004211796,6.263096564201659,6.282610487978367,366041200
2010-03-05,6.572904586791992,6.5954197884849295,6.443217522047294,6.4525239710825835,899620400
2010-03-08,6.576807975769043,6.6071277878625185,6.551891107215477,6.604726524157207,429889600
2010-03-09,6.69508695602417,6.754526547875784,6.541083830574317,6.553692168116807,920259200
2010-03-10,6.749722480773926,6.768935794260127,6.700489968212656,6.719402672863855,596218000
2010-03-11,6.769536972045898,6.769536972045898,6.7040936119288785,6.72180588938946,405700400
2010-03-12,6.8025593757629395,6.836481685359875,6.777042090532663,6.825674194800859,416323600
2010-03-15,6.719703197479248,6.769535727622992,6.611930516123886,6.765934032798199,493502800
2010-03-16,6.738015174865723,6.753925800243838,6.679776418097007,6.729909958561907,446908000
2010-03-17,6.728107929229736,6.798054390677824,6.702591050303533,6.751523352110669,450956800
2010-03-18,6.744017601013184,6.754524478945001,6.6827763787717815,6.727505762175954,342109600
2010-03-19,6.671969890594482,6.761730075843335,6.641349076324719,6.748221117060292,559445600
2010-03-22,6.747020721435547,6.784546321925031,6.60892824314106,6.618534899474179,456419600
2010-03-23,6.8553924560546875,6.868001191477644,6.727506258777943,6.773737487038654,602431200
2010-03-24,6.885714054107666,6.9106309197461835,6.829876162240197,6.833779267435768,597780400
2010-03-25,6.804059982299805,6.933747463507815,6.792051659514707,6.932246022347836,542284400
2010-03-26,6.931644916534424,6.963165554628323,6.8610972377853665,6.873105557986953,640875200
2010-03-29,6.976373672485352,7.020803654125469,6.9532588593037055,6.994686760993579,540744400
2010-03-30,7.080245018005371,7.129178532713083,7.032212528321519,7.102760222493937,527310000
2010-03-31,7.05472993850708,7.10306305218504,7.038519499246196,7.069440539381201,430659600
2010-04-01,7.08384370803833,7.166698686147007,6.987179166099913,7.12707284536035,603145200
2010-04-05,7.159499168395996,7.160099584606358,7.047824158140046,7.054128929160734,684507600
2010-04-06,7.1910200119018555,7.2120337758677495,7.1147687628669996,7.150792930825467,447017200
2010-04-07,7.222840309143066,7.262466968806076,7.164600750996949,7.191318865749607,628502000
2010-04-08,7.203325271606445,7.2510571348445785,7.145986753641626,7.218035060844987,572989200
2010-04-09,7.25856351852417,7.261566400405569,7.218637053530341,7.2477568312195375,334182800
2010-04-12,7.273575305938721,7.29699073478853,7.259165317955011,7.270873032379916,333026400
2010-04-13,7.277777194976807,7.288885294519839,7.238150530856811,7.2606665372048464,306210800
2010-04-14,7.3756422996521,7.379244795988823,7.327010202353472,7.363334171313412,404076400
2010-04-15,7.47260856628418,7.475910454257223,7.370239618011878,7.378344835126576,376784800
2010-04-16,7.426976680755615,7.5392520785418276,7.341419396693626,7.462099817654108,750545600
2010-04-19,7.417068958282471,7.441685210819167,7.257961936668035,7.41586812637222,566924400
2010-04-20,7.342620372772217,7.482514110299202,7.29368766560357,7.461199740669977,738326400
2010-04-21,7.781813144683838,7.81273416520627,7.677042565775252,7.769204409770884,982391200
2010-04-22,7.999457836151123,8.007863658502545,7.6911510944169725,7.75239271278257,793424800
2010-04-23,8.130349159240723,8.170876048134094,8.015372268783086,8.045091666655404,796955600
2010-04-26,8.090421676635742,8.179280853512592,8.05109482336326,8.161869588442405,479068800
2010-04-27,7.866468906402588,8.04058551260276,7.820838900380045,8.023474059938463,709343600
2010-04-28,7.853261947631836,7.925309464883296,7.697457598348805,7.902795066655445,758402400
2010-04-29,8.064603805541992,8.105430492658892,7.865570298947044,7.895890106267337,558840800
2010-04-30,7.837954521179199,8.122544599932239,7.835253048952805,8.084719179019885,542463600
2010-05-03,7.995858669281006,8.041790102580844,7.891688474407178,7.920508448751758,454342000
2010-05-04,7.7656049728393555,7.903998097736744,7.7076668150721765,7.891990575665869,723819600
2010-05-05,7.684847831726074,7.749391342538895,7.46690165626653,7.595988677892173,883103200
2010-05-06,7.392452716827393,7.752693472584734,5.981506884293817,7.620004752796902,1285860800
2010-05-07,7.0805439949035645,7.402059987086741,6.760830052556775,7.316202893814342,1676018400
2010-05-10,7.624809265136719,7.644622996847167,7.460899674559441,7.512534658605443,984306400
2010-05-11,7.70076322555542,7.801930557454104,7.520041943394403,7.560268228680869,848906800
2010-05-12,7.867971897125244,7.899192729047717,7.766204185768228,7.7824138153238875,654379600
2010-05-13,7.755997180938721,7.955330494807483,7.697157211135209,7.9018942693187,599712400
2010-05-14,7.619706630706787,7.69956037567163,7.490019948375691,7.659933711265195,759362800
2010-05-17,7.631714344024658,7.690554320593279,7.4362833111018025,7.646124330520721,762834800
2010-05-18,7.575876235961914,7.761700586357783,7.512833355100291,7.71456913093513,782678400
2010-05-19,7.455194473266602,7.592686526107991,7.350424690503312,7.490017798461672,1025726800
2010-05-20,7.137585163116455,7.320407489830054,7.091053307729858,7.26126689405419,1282915200
2010-05-21,7.274474143981934,7.339917883151994,6.9451527897472465,6.989282162244605,1223891200
2010-05-24,7.407765865325928,7.532049626168712,7.392756260462535,7.423376688072653,754238800
2010-05-25,7.361533164978027,7.407763599570883,7.119571097777742,7.185314654023756,1048006400
2010-05-26,7.328211307525635,7.56897337159638,7.317403816930542,7.507431919254307,850654000
2010-05-27,7.605595588684082,7.621806821242094,7.478310598796752,7.523040389901165,666282400
2010-05-28,7.711566925048828,7.7872177395501625,7.605595502658518,7.786917932354983,815614800
2010-06-01,7.830146312713623,7.983548997552722,7.774008617632067,7.79592340141244,876472800
2010-06-02,7.92380952835083,7.949326006348541,7.815135833753872,7.941520598216101,688548000
2010-06-03,7.898890495300293,7.971839016443927,7.817535350699407,7.960730922494549,650106800
2010-06-04,7.683949947357178,7.86226872523616,7.644023477816935,7.75149475679081,758304400
2010-06-07,7.5332489013671875,7.779713712758024,7.521540385915679,7.7538966205608935,886942000
2010-06-08,7.484917163848877,7.619107374441455,7.374442991562499,7.602295721395735,1000770400
2010-06-09,7.3008904457092285,7.562066575399384,7.2795768818230195,7.5491572316043065,854630000
